{'global': {'threads': 16, 'cuda': True, 'batch_size': 512, 'max_tokens': 20, 'visual_feature_size': 768, 'cosine_annealing_steps': 1, 'dexter': False, 'clap': True, 'palmtree': True, 'interval': 4, 'decoder_type': 'lord', 'no_combo': False}, 'COMBO': {'learning_rate': 5e-05, 'epochs': 80, 'max_grad_norm': 1, 'weight_decay': 0.01, 'warmup_percent': 1.0, 'Dexter2Seq': {'patches': 16, 'dim_inter': 32}, 'Clap2Seq': {'patches': 16, 'dim_inter': 48}, 'PalmtreeSeq': {'size': 50, 'emb_size': 128}, 'CoCa': {'unimodal_depth': 6, 'multimodal_depth': 6, 'dim_head': 24, 'head': 32, 'feedforward_factor': 4, 'dropout': 0, 'final_mlp_depth': 1, 'caption_loss_weight': 1.0, 'contrastive_loss_weight': 1.0, 'num_img_queries': 63}}, 'LORD': {'learning_rate_combo': 1e-05, 'learning_rate_lord': 5e-05, 'epochs': 80, 'max_grad_norm': 1, 'weight_decay': 0.01, 'warmup_percent': 1.0, 'LORD': {'depth': 12, 'head': 32, 'feedforward_factor': 4, 'dropout': 0.1, 'final_mlp_depth': 1, 'loss_type': 'smooth'}}}
<shared-project-root>/baselines/blens/inferenceCOMBO.py:37: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  combo.load_state_dict(torch.load(os.path.join(directoryXP, f"COMBO-Function-0")))
target: do_global_auxiliary
output: zn_7_adapter_12_character_is_ei
target: dl_relocate_static
output: zn_7_adapter_12_character_is_file_ei
target: finalise
output: curl_easy_set_option_error_debug_callback
target: gl_alloc_no_memory
output: gl_alloc_no_memory
target: initialise
output: deflate
target: start
output: start
target: at_exit
output: at_exit
target: is_alnum
output: is_alnum
target: is_alpha
output: is_alpha
target: is_ascii
output: is_ascii
target: is_blank
output: is_blank
target: is_cntrl
output: is_cntrl
target: is_digit
output: is_digit
target: is_graph
output: is_graph
target: slower
output: slower
target: sprint
output: sprint
target: is_punctuation
output: is_punctuation
target: is_space
output: is_space
target: supper
output: supper
target: is_digit
output: is_digit
target: string_case_compare
output: string_case_compare
target: to_lower
output: to_lower
target: to_upper
output: to_upper
target: clone_quoting_options
output: clone_quoting_options
target: close_standard_out
output: zn_7_adapter_12_character_is_ei
target: close_standard_out_set_file_name
output: zn_7_adapter_12_character_is_ei
target: close_standard_out_set_ignore_pipe
output: zn_7_adapter_12_character_is_ei
target: close_stream
output: close_stream
target: copy_file
output: bc_number_subtract
target: error
output: get_index
target: finalise
output: timestamp_3_find_element_by_hash
target: free
output: xml_schema_set_valid
target: write
output: compare
target: write_2
output: get_number_base
target: get_buffer_size
output: gr_ec_list_size
target: get_delimiter
output: sq_lite_3_pager_is_read_only
target: get
output: xml_schema_is_valid
target: get_quote
output: sq_lite_3_pager_is_read_only
target: buffer
output: ngx_http_variable_header
target: initialise
output: 
target: parse
output: fd_parse_check_format_matches
target: set_size
output: sq_lite_3_wal_limit
target: set_delimiter
output: set_2
target: set_free_function
output: png_set_chunk_malloc_max
target: set
output: xml_dict_size
target: set_quote
output: set_2
target: set_realloc_function
output: png_set_chunk_malloc_max
target: set_space_function
output: png_set_chunk_malloc_max
target: set_term_function
output: xml_set_start_name_space_decimal_handler
target: string_error
output: gr_ec_2
target: write
output: png_get
target: write_2
output: to_ascii
target: current_time_spec
output: current_time_spec
target: de_register_tm_clones
output: zn_7_adapter_12_character_is_file_ei
target: directory_exists
output: directory_exists
target: fd_time_ns
output: fd_time_ns
target: field_callback
output: file_reader_addition_file
target: read_file
output: read_file
target: full_write
output: file_reader_addition_file
target: get_quoting_style
output: get_quoting_style
target: get_status_time
output: get_status_time
target: get_status_time_ns
output: get_status_time_ns
target: get_status_time
output: get_status_time
target: get_status_time_ns
output: fd_bool_fd_true
target: get_status_time
output: get_status_time
target: get_status_time_ns
output: get_status_time_ns
target: get_status_ti
output: get_status_ti
target: get_status_ti_ns
output: get_status_ti_ns
target: get_text_quote
output: lz_4_compress_fast
target: get_time
output: get_time
target: hard_locale
output: hard_locale
target: ic_alloc
output: ic_alloc
target: malloc
output: character_alloc
target: realloc
output: realloc
target: realloc_array
output: realloc_array
target: is_space
output: hash_tab_create
target: is_term
output: is_ws
target: locale_charset
output: locale_charset
target: time_ns
output: time_ns
target: main
output: zn_7_adapter_12_character_is_ei
target: non_null
output: non_null
target: parse_argument
output: zn_7_adapter_12_character_is_ei
target: path_search
output: path_search
target: process
output: main
target: copy_file
output: hash_tab_create
target: quote
output: quote_argument
target: quote_memory
output: quote_memory
target: quote
output: quote
target: quote_memory
output: set_locale_null
target: quote_argument
output: quote_argument
target: quote_argument_alloc
output: quote_argument_alloc
target: quote_argument_alloc_memory
output: quote_argument_alloc_memory
target: quote_argument_buffer
