id	path	size	has_symtab	has_debug_sections	build_id	elf_type	source_group	local_path	local_build_id	status
angie_angie_O0	$WORKSPACE/baselines/SymLM/dataset_generation/xproj_debug/angie_angie_O0	3701000	1	1	329e88015892d70c80b0802a55f5311e1b03a995	DYN	SymLM/xproj_debug			MISSING_LOCAL
angie_angie_O1	$WORKSPACE/baselines/SymLM/dataset_generation/xproj_debug/angie_angie_O1	4137928	1	1	1f107d08f865cb7e91f5d1123579c877f6ace061	EXEC	SymLM/xproj_debug			MISSING_LOCAL
angie_angie_O2	$WORKSPACE/baselines/SymLM/dataset_generation/xproj_debug/angie_angie_O2	4261352	1	1	eda729b59488fd39755d47b5b34b9135fa3fee5e	EXEC	SymLM/xproj_debug			MISSING_LOCAL
angie_angie_O3	$WORKSPACE/baselines/SymLM/dataset_generation/xproj_debug/angie_angie_O3	4386656	1	1	452cab28566fcdd4da40cb68298b92eac83d48d8	EXEC	SymLM/xproj_debug			MISSING_LOCAL
angie_angie_clang_O1	$WORKSPACE/clang_o1o3/bins/angie_angie_clang_O1.debug	4135096	1	1		DYN	clang_o1o3/bins	clang_o1o3/bins/angie_angie_clang_O1.debug		LOCAL_EXISTS_NO_BUILDID(size 4135096 vs 4135096)
angie_angie_clang_O3	$WORKSPACE/clang_o1o3/bins/angie_angie_clang_O3.debug	4233016	1	1		DYN	clang_o1o3/bins	clang_o1o3/bins/angie_angie_clang_O3.debug		LOCAL_EXISTS_NO_BUILDID(size 4233016 vs 4233016)
atop_atop_O0	$WORKSPACE/data/debug/atop_atop_O0	1156928	1	1		EXEC	data/debug			MISSING_LOCAL
atop_atop_O1	$WORKSPACE/data/debug/atop_atop_O1	1156928	1	1		EXEC	data/debug			MISSING_LOCAL
atop_atop_O2	$WORKSPACE/data/debug/atop_atop_O2	1156928	1	1		EXEC	data/debug			MISSING_LOCAL
atop_atop_O3	$WORKSPACE/data/debug/atop_atop_O3	1156928	1	1		EXEC	data/debug			MISSING_LOCAL
atop_atopacctd_O0	$WORKSPACE/data/debug/atop_atopacctd_O0	61728	1	1		EXEC	data/debug			MISSING_LOCAL
atop_atopacctd_O1	$WORKSPACE/data/debug/atop_atopacctd_O1	61728	1	1		EXEC	data/debug			MISSING_LOCAL
atop_atopacctd_O2	$WORKSPACE/data/debug/atop_atopacctd_O2	61728	1	1		EXEC	data/debug			MISSING_LOCAL
