id	package	tool	opt_tag	corpora	has_debug_elf	has_stripped_elf	n_debug_elfs	n_stripped_elfs	has_bir	bir_size	has_labels	n_labels	label_schema	n_xproj_ground_truth	n_external_fns	n_sub_graphs	n_nonsub_graphs	n_matched	n_matched_dangling	n_matched_clang_mi	local_split	wulver_split_v1	wulver_split_paper_clean	wulver_split_paper_clean_strict_idx	wulver_data_split	wulver_has_bir	wulver_bir_size	wulver_has_labels	wulver_has_external	wulver_n_sub_graphs	wulver_n_nonsub_graphs	wulver_n_matched	wulver_has_debug_elf	wulver_has_stripped_elf	build_id_stripped	build_id_debug	build_id_match	build_id_any_match	elf_type	has_eh_frame	n_fde	n_fde_debug	elfcheck_ratio	elfcheck_src	duplicate_of	eligible_v2	ineligible_reasons	role_hint	notes
acct_ac_O0	acct	ac	O0	local_main;wulver	data/raw/acct_ac_O0_sym	data/stripped/acct_ac_O0_stripped	1	1	data/bir/acct_ac_O0.bir	428791	1	53	schemaA:functions=name->addr		191	104	45	103	0		train	train	train	train	train	0		1	1	104	45	103	0	1	96fed4493cfc044ff97618acda5c268dc551c700	96fed4493cfc044ff97618acda5c268dc551c700	1	1	DYN	1	56	56	1.0	archive		1			
acct_ac_O1	acct	ac	O1	local_main;wulver	data/raw/acct_ac_O1	data/stripped/acct_ac_O1_stripped	1	1	data/bir/acct_ac_O1.bir	383157	1	58	flat:addr->name		132	44	45	42	0			train	train	train		0		1	1	44	45	42	0	1	5713ee3bcb999c0550bab3020ecaac7bc4da3d9d	5713ee3bcb999c0550bab3020ecaac7bc4da3d9d	1	1	EXEC	1	54	54	1.0	archive		1			
acct_ac_O2	acct	ac	O2	local_main;wulver	data/raw/acct_ac_O2_sym	data/stripped/acct_ac_O2_stripped	1	1	data/bir/acct_ac_O2.bir	393535	1	50	schemaA:functions=name->addr		130	42	46	40	0		train	train	train	train	train	0		1	1	42	46	40	0	1	2312d378e766404e96746c758c79b16c1607fca8	2312d378e766404e96746c758c79b16c1607fca8	1	1	DYN	1	54	54	1.0	archive		1			
acct_ac_O3	acct	ac	O3	local_main;wulver	data/raw/acct_ac_O3	data/stripped/acct_ac_O3_stripped	1	1	data/bir/acct_ac_O3.bir	440225	1	58	flat:addr->name		130	42	45	40	0			train	train	train		0		1	1	42	45	40	0	1	433f16daa2665f2e8154eebcb01216a3d1865bea	433f16daa2665f2e8154eebcb01216a3d1865bea	1	1	EXEC	1	54	54	1.0	archive		1			
acct_accton_O0	acct	accton	O0	local_main;wulver	data/raw/acct_accton_O0_sym	data/stripped/acct_accton_O0_stripped	1	1	data/bir/acct_accton_O0.bir	49827	1	10	schemaA:functions=name->addr		57	20	16	19	0		train	train	train	train	train	0		1	1	20	16	19	0	1	a703f63ae90b4193c07632ac3dbb2b8fc9c60929	a703f63ae90b4193c07632ac3dbb2b8fc9c60929	1	1	DYN	1	14	14	1.0	archive		1			
acct_accton_O1	acct	accton	O1	local_main;wulver	data/raw/acct_accton_O1	data/stripped/acct_accton_O1_stripped	1	1	data/bir/acct_accton_O1.bir	41876	1	18	flat:addr->name		44	9	15	7	0			train	train	train		0		1	1	9	15	7	0	1	6cf47aa4a02dd210ef2fcdcd69b9803de55e5fa7	6cf47aa4a02dd210ef2fcdcd69b9803de55e5fa7	1	1	EXEC	1	14	14	1.0	archive		1			
acct_accton_O2	acct	accton	O2	local_main;wulver	data/raw/acct_accton_O2_sym	data/stripped/acct_accton_O2_stripped	1	1	data/bir/acct_accton_O2.bir	37925	1	10	schemaA:functions=name->addr		42	9	15	7	0		train	train	train	train	train	0		1	1	9	15	7	0	1	235c95a064be371c71972da09dade260a88692b7	235c95a064be371c71972da09dade260a88692b7	1	1	DYN	1	14	14	1.0	archive		1			
acct_accton_O3	acct	accton	O3	local_main;wulver	data/raw/acct_accton_O3	data/stripped/acct_accton_O3_stripped	1	1	data/bir/acct_accton_O3.bir	38155	1	18	flat:addr->name		39	7	14	5	0			train	train	train		0		1	1	7	14	5	0	1	edcd3247784f3769b5191687977152e5c05e3254	edcd3247784f3769b5191687977152e5c05e3254	1	1	EXEC	1	14	14	1.0	archive		1			
acct_dump-utmp_O0	acct	dump-utmp	O0	local_main;wulver	data/raw/acct_dump-utmp_O0_sym	data/stripped/acct_dump-utmp_O0_stripped	1	1	data/bir/acct_dump-utmp_O0.bir	338210	1	47	schemaA:functions=name->addr		178	92	43	91	0		train	train	train	train	train	0		1	1	92	43	91	0	1	813bf32e478da4dac628cc9c7a0442a3ce7eadf5	813bf32e478da4dac628cc9c7a0442a3ce7eadf5	1	1	DYN	1	50	50	1.0	archive		1			
acct_dump-utmp_O1	acct	dump-utmp	O1	local_main;wulver	data/raw/acct_dump-utmp_O1	data/stripped/acct_dump-utmp_O1_stripped	1	1	data/bir/acct_dump-utmp_O1.bir	267092	1	51	flat:addr->name		119	32	43	30	0			train	train	train		0		1	1	32	43	30	0	1	a3511ea0ce0adff23fe2ebdc88394398fe0ede02	a3511ea0ce0adff23fe2ebdc88394398fe0ede02	1	1	EXEC	1	47	47	1.0	archive		1			
acct_dump-utmp_O2	acct	dump-utmp	O2	local_main;wulver	data/raw/acct_dump-utmp_O2_sym	data/stripped/acct_dump-utmp_O2_stripped	1	1	data/bir/acct_dump-utmp_O2.bir	270783	1	43	schemaA:functions=name->addr		119	31	44	29	0		train	train	train	train	train	0		1	1	31	44	29	0	1	31a612e53573ccfb1c8e8a929b7e1b39e30787b6	31a612e53573ccfb1c8e8a929b7e1b39e30787b6	1	1	DYN	1	47	47	1.0	archive		1			
acct_dump-utmp_O3	acct	dump-utmp	O3	local_main;wulver	data/raw/acct_dump-utmp_O3	data/stripped/acct_dump-utmp_O3_stripped	1	1	data/bir/acct_dump-utmp_O3.bir	265888	1	50	flat:addr->name		115	28	43	26	0			train	train	train		0		1	1	28	43	26	0	1	feeb69fb0881b4d16bdbe37e16f0c6e24e187968	feeb69fb0881b4d16bdbe37e16f0c6e24e187968	1	1	EXEC	1	46	46	1.0	archive		1			
acct_last_O0	acct	last	O0	local_main;wulver	data/raw/acct_last_O0_sym	data/stripped/acct_last_O0_stripped	1	1	data/bir/acct_last_O0.bir	400516	1	52	schemaA:functions=name->addr		188	102	43	101	0		train	train	train	train	train	0		1	1	102	43	101	0	1	81a02c5812c0542d00aa4b5cf34991ac6a968d0b	81a02c5812c0542d00aa4b5cf34991ac6a968d0b	1	1	DYN	1	55	55	1.0	archive		1			
acct_last_O1	acct	last	O1	local_main;wulver	data/raw/acct_last_O1	data/stripped/acct_last_O1_stripped	1	1	data/bir/acct_last_O1.bir	332524	1	57	flat:addr->name		129	42	43	40	0			train	train	train		0		1	1	42	43	40	0	1	6799362440d854a3ccd60b8de6cf37851e76aa19	6799362440d854a3ccd60b8de6cf37851e76aa19	1	1	EXEC	1	53	53	1.0	archive		1			
acct_last_O2	acct	last	O2	local_main;wulver	data/raw/acct_last_O2_sym	data/stripped/acct_last_O2_stripped	1	1	data/bir/acct_last_O2.bir	342451	1	49	schemaA:functions=name->addr		127	40	44	38	0		train	train	train	train	train	0		1	1	40	44	38	0	1	62a64720dfb78383a37b1b61b32c1b3078615878	62a64720dfb78383a37b1b61b32c1b3078615878	1	1	DYN	1	53	53	1.0	archive		1			
acct_last_O3	acct	last	O3	local_main;wulver	data/raw/acct_last_O3	data/stripped/acct_last_O3_stripped	1	1	data/bir/acct_last_O3.bir	351855	1	56	flat:addr->name		127	40	43	38	0			train	train	train		0		1	1	40	43	38	0	1	7144696f58bdd0336a984ca0627b130fb998bf4c	7144696f58bdd0336a984ca0627b130fb998bf4c	1	1	EXEC	1	52	52	1.0	archive		1			
acct_lastcomm_O0	acct	lastcomm	O0	local_main;wulver	data/raw/acct_lastcomm_O0_sym	data/stripped/acct_lastcomm_O0_stripped	1	1	data/bir/acct_lastcomm_O0.bir	513638	1	55	schemaA:functions=name->addr		210	108	50	107	0		train	train	train	train	train	0		1	1	108	50	107	0	1	68510038868980995a5c1ffc7c9363906c2ca3cb	68510038868980995a5c1ffc7c9363906c2ca3cb	1	1	DYN	1	58	58	1.0	archive		1			
acct_lastcomm_O1	acct	lastcomm	O1	local_main;wulver	data/raw/acct_lastcomm_O1	data/stripped/acct_lastcomm_O1_stripped	1	1	data/bir/acct_lastcomm_O1.bir	426476	1	57	flat:addr->name		146	41	51	39	0			train	train	train		0		1	1	41	51	39	0	1	56263cd0f9d7ed1294cda49a8d22a6acfca45109	56263cd0f9d7ed1294cda49a8d22a6acfca45109	1	1	EXEC	1	53	53	1.0	archive		1			
acct_lastcomm_O2	acct	lastcomm	O2	local_main;wulver	data/raw/acct_lastcomm_O2_sym	data/stripped/acct_lastcomm_O2_stripped	1	1	data/bir/acct_lastcomm_O2.bir	452196	1	49	schemaA:functions=name->addr		144	38	52	36	0		train	train	train	train	train	0		1	1	38	52	36	0	1	5cced07353f3f5e439301d48b826d05c309e83bc	5cced07353f3f5e439301d48b826d05c309e83bc	1	1	DYN	1	53	53	1.0	archive		1			
acct_lastcomm_O3	acct	lastcomm	O3	local_main;wulver	data/raw/acct_lastcomm_O3	data/stripped/acct_lastcomm_O3_stripped	1	1	data/bir/acct_lastcomm_O3.bir	486032	1	55	flat:addr->name		142	37	51	35	0			train	train	train		0		1	1	37	51	35	0	1	81b46cd2063328932a314cb07b674e0a39a3e7ed	81b46cd2063328932a314cb07b674e0a39a3e7ed	1	1	EXEC	1	51	51	1.0	archive		1			
acct_sa_O0	acct	sa	O0	local_main;wulver	data/raw/acct_sa_O0_sym	data/stripped/acct_sa_O0_stripped	1	1	data/bir/acct_sa_O0.bir	710855	1	71	schemaA:functions=name->addr		256	140	58	139	0		train	train	train	train	train	0		1	1	140	58	139	0	1	de84581f81f228f747380e62e19787043fe6575d	de84581f81f228f747380e62e19787043fe6575d	1	1	DYN	1	74	74	1.0	archive		1			
acct_sa_O1	acct	sa	O1	local_main;wulver	data/raw/acct_sa_O1	data/stripped/acct_sa_O1_stripped	1	1	data/bir/acct_sa_O1.bir	599243	1	72	flat:addr->name		178	58	59	54	0			train	train	train		0		1	1	58	59	54	0	1	137e123e269a880f48772a0065d415f75f7c0d11	137e123e269a880f48772a0065d415f75f7c0d11	1	1	EXEC	1	68	68	0.9827586206896551	archive		1			
acct_sa_O2	acct	sa	O2	local_main;wulver	data/raw/acct_sa_O2_sym	data/stripped/acct_sa_O2_stripped	1	1	data/bir/acct_sa_O2.bir	618062	1	64	schemaA:functions=name->addr		174	54	60	52	0		train	train	train	train	train	0		1	1	54	60	52	0	1	14c7487cf5601ec8c956330aab067244d09e79bf	14c7487cf5601ec8c956330aab067244d09e79bf	1	1	DYN	1	68	68	0.9814814814814815	archive		1			
acct_sa_O3	acct	sa	O3	local_main;wulver	data/raw/acct_sa_O3	data/stripped/acct_sa_O3_stripped	1	1	data/bir/acct_sa_O3.bir	657058	1	69	flat:addr->name		169	50	59	46	0			train	train	train		0		1	1	50	59	46	0	1	9f9cf25dbb2cf51b42c2ef915fe9767f8625eb3c	9f9cf25dbb2cf51b42c2ef915fe9767f8625eb3c	1	1	EXEC	1	65	65	1.0	archive		1			
angie_angie_O0	angie	angie	O0	local_main;local_main:cross_project;wulver		data/stripped/angie_angie_O0_stripped	0	2	data/bir/angie_angie_O0.bir	23158207	0			1588	3359	0		0				excluded	xproject	excluded		0		1	1	2552	657		0	1	329e88015892d70c80b0802a55f5311e1b03a995				DYN	1	1584		1.0	archive		0	no_debug_elf;no_matched_functions	xproject_holdout(wulver_paper_clean);local_cross_project_dir	
angie_angie_O1	angie	angie	O1	local_main;local_main:cross_project;wulver		data/stripped/angie_angie_O1_stripped	0	2	data/bir/angie_angie_O1.bir	14258288	0			1295	1327	0		0				excluded	xproject	excluded		0		1	1	530	651		0	1	1f107d08f865cb7e91f5d1123579c877f6ace061				EXEC	1	1290		0.9966666666666667	archive		0	no_debug_elf;no_matched_functions	xproject_holdout(wulver_paper_clean);local_cross_project_dir	
angie_angie_O2	angie	angie	O2	local_main;local_main:cross_project;wulver		data/stripped/angie_angie_O2_stripped	0	2	data/bir/angie_angie_O2.bir	14794335	0			1297	1315	0		0				excluded	xproject	excluded		0		1	1	513	653		0	1	eda729b59488fd39755d47b5b34b9135fa3fee5e				EXEC	1	1292		0.9966666666666667	archive		0	no_debug_elf;no_matched_functions	xproject_holdout(wulver_paper_clean);local_cross_project_dir	
angie_angie_O3	angie	angie	O3	local_main;local_main:cross_project;wulver		data/stripped/angie_angie_O3_stripped	0	2			0			1257	1296	0		0				excluded	xproject	excluded		0		1	1	495	653		0	1	452cab28566fcdd4da40cb68298b92eac83d48d8				EXEC	0	0					0	no_debug_elf;no_bir;no_matched_functions	xproject_holdout(wulver_paper_clean);local_cross_project_dir	
angie_angie_clang_O1	angie	angie_clang	O1	clang_o1o3	clang_o1o3/bins/angie_angie_clang_O1.debug	clang_o1o3/bins/angie_angie_clang_O1	1	1	clang_o1o3/bir/angie_angie_clang_O1.bir	11098832	1	1462	schemaA:functions=name->addr		1514	230	931																						DYN	1	1466	1466	0.9956521739130435	computed		0	no_matched_functions		
angie_angie_clang_O3	angie	angie_clang	O3	clang_o1o3	clang_o1o3/bins/angie_angie_clang_O3.debug	clang_o1o3/bins/angie_angie_clang_O3	1	1	clang_o1o3/bir/angie_angie_clang_O3.bir	11955447	1	1450	schemaA:functions=name->addr		1505	219	932																						DYN	1	1454	1454	0.9954337899543378	computed		0	no_matched_functions		
atop_atop_O0	atop	atop	O0	local_main:_p0_0_6_round3;wulver		data/stripped/_p0_0_6_round3/atop_atop_O0_stripped	0	1	data/bir/_p0_0_6_round3/atop_atop_O0.bir	3962932	0											excluded		excluded		1	3962932	1	1	138	189	136	1	1					EXEC	1	694		0.9782608695652174	computed		1		excluded_in_wulver_v1(not in paper_clean)	
atop_atop_O1	atop	atop	O1	local_main:_p0_0_6_round3;wulver		data/stripped/_p0_0_6_round3/atop_atop_O1_stripped	0	1	data/bir/_p0_0_6_round3/atop_atop_O1.bir	3962932	0											excluded		excluded		1	3962932	1	1	138	189	136	1	1					EXEC	1	694		0.9782608695652174	computed		1		excluded_in_wulver_v1(not in paper_clean)	
atop_atop_O2	atop	atop	O2	local_main:_p0_0_6_round3;wulver		data/stripped/_p0_0_6_round3/atop_atop_O2_stripped	0	1	data/bir/_p0_0_6_round3/atop_atop_O2.bir	3962932	0											excluded		excluded		1	3962932	1	1	138	189	136	1	1					EXEC	1	694		0.9782608695652174	computed		1		excluded_in_wulver_v1(not in paper_clean)	
atop_atop_O3	atop	atop	O3	local_main:_p0_0_6_round3;wulver		data/stripped/_p0_0_6_round3/atop_atop_O3_stripped	0	1	data/bir/_p0_0_6_round3/atop_atop_O3.bir	3962932	0											excluded		excluded		1	3962932	1	1	138	189	136	1	1					EXEC	1	694		0.9782608695652174	computed		1		excluded_in_wulver_v1(not in paper_clean)	
atop_atopacctd_O0	atop	atopacctd	O0	local_main:_p0_0_6_round3;wulver		data/stripped/_p0_0_6_round3/atop_atopacctd_O0_stripped	0	1	data/bir/_p0_0_6_round3/atop_atopacctd_O0.bir	191653	0											excluded		excluded		1	191653	1	1	15	63	13	1	1					EXEC	1	18		1.0	computed		1		excluded_in_wulver_v1(not in paper_clean)	
